title,price
ASUS ROG STRIX Z890-E GAMING WIFI DDR5 LGA1851 ATX GAMING MOTHERBOARD (3+1YW),"RM3,250.00"
ASUS ROG STRIX Z890-F GAMING WIFI DDR5 LGA1851 ATX GAMING MOTHERBOARD (3+1YW),"RM2,250.00"
ASUS TUF GAMING Z890 PRO WIFI DDR5 LGA1851 ATX MOTHERBOARD (3+1YW),"RM1,750.00"
"ASUS TUF LC 240 RGB AiO Liquid CPU Cooler Aura Sync , Compatible Intel & AMD",RM509.00
LIAN LI PC-O11 DYNAMIC EVO ATX CASING,RM682.00
MSI GEFORCE RTX3050 VENTUS 2X OC 6GB DDR6 Graphics Card (RTX 3050 VENTUS 2X 6G OC),RM849.00
MSI GEFORCE RTX5070TI SHADOW 3X OC 16GB GDDR7,"RM4,099.00"
MSI MAG Z890 CARBON WIFI DDR5 INTEL LGA1851 ATX GAMING MOTHERBOARD (3YW),"RM2,599.00"
MSI MAG Z890 TOMAHAWK WIFI DDR5 INTEL LGA1851 ATX MOTHERBOARD,"RM1,909.00"
MSI MEG Z890 ACE DDR5 INTEL LGA1851 ATX GAMING MOTHERBOARD,"RM3,319.00"
MSI PRO X670-P WIFI / X670 WIFI AM5 AMD MOTHERBOARD,"RM2,924.00"
MSI PRO Z890-A WIFI DDR5 INTEL LGA1851 ATX MOTHERBOARD,"RM1,729.00"
MSI PRO Z890-P WIFI DDR5 INTEL LGA1851 ATX MOTHERBOARD (3YW),"RM1,369.00"
1ST PLAYER BLACK SIR SR-500W 500W / SR-600W 600W 80+ PSU POWER SUPPLY,RM179.00
1ST PLAYER DK 6.0 PS-600AX 600W 80Plus Bronze Power Supply,RM239.00
AIGO GP550 550WATT 80 PLUS BRONZE POWER SUPPLY - AIGO-GP550,RM179.00
AIGO GP650 650WATT 80 PLUS BRONZE POWER SUPPLY - AIGO-GP650,RM199.00
AIGO SLEV 30 PREMIUM PRE-BRAIDED MODDING CABLES,RM99.00
ASUS Dual Geforce RTX5080 8GB GDDR7 Graphic Card (DUAL-RTX5060-8GB),"RM1,449.00"
ASUS GEFORCE RTX5070 PRIME OC EDITION 12GB GDDR7 GPU GRAPHIC CARD,"RM3,099.00"
ASUS PRIME GeForce RTX 5060 Ti 8GB GDDR7 OC Edition Graphic Card,"RM1,879.00"
ASUS ROG STRIX 650WATT GAMING POWER SUPPLY ( 90YE00A1-B0NA00 ),RM679.00
ASUS ROG STRIX 750WATT GAMING POWER SUPPLY ( 90YE00A0-B0NA00 ),RM679.00
ASUS ROG STRIX LC 240 RGB LIQUID CPU COOLER,RM819.00
ASUS ROG Strix LC II 240 ARGB All-in-one Liquid CPU Cooler,RM849.00
ASUS ROG STRIX LC II 280 ARG ALL IN ONE CPU COOLER,RM899.00
ASUS ROG Strix LC II 280 ARGB All-in-one Liquid CPU Cooler,RM899.00
ASUS ROG Strix LC II 360 ARGB All-in-one Liquid CPU Cooler,"RM1,099.00"
ASUS ROG THOR 850W PLATINUM GAMING POWER SUPPLY WITH AURA SYNC AND OLED DISPLAY - BLACK ( 90YE0090-B001N0 ),"RM1,339.00"
ASUS TUF GAMING 550B 550WATT POWER SUPPLY,RM355.00
ASUS TUF GAMING GEFORCE RTX5070 Ti OC 16GB GDDR7 GPU GRAPHIC CARD,"RM5,659.00"
COLORFUL GeForce RTX 5060 Gaming DUO 8GB-V Graphic Card,"RM1,499.00"
COLORFUL GeForce RTX5060TI Gaming DUO 16GB GDDR7 Graphics Card,"RM2,279.00"
COLORFUL GeForce RTX5070 Battle AX 12GB GDDR7 Graphic Card,"RM2,909.00"
COLORFUL GEFORCE RTX5070TI BATTLE AX 16GB GDDR7 GPU GRAPHIC CARD,"RM4,099.00"
COLORFUL iGame GeForce RTX 5060 Ti Ultra W DUO OC 8GB-V Graphics Card,"RM1,879.00"
COLORFUL iGame GeForce RTX 5070 Ti Ultra W OC 16GB-V GDDR7 Graphics Card ( CFL-RTX5070 TI ULTRA W OC 16GB-V ),"RM4,299.00"
COLORFUL IGAME GEFORCE RTX 5070 ULTRA W OC 12GB GDDR7 Graphics Card ( CFL-RTX5070 ULTRA W OC 12GB-V ),"RM3,199.00"
COLORFUL IGAME GEFORCE RTX5060 TI ULTRA W OC 8GB GDDR7 GPU GRAPHIC CARD,"RM1,929.00"
COLORFUL IGAME GEFORCE RTX5060 ULTRA W DUO OC 8GB GDDR7 GPU GRAPHIC CARD,"RM1,599.00"
COLORFUL IGAME GEFORCE RTX5070TI VULCAN 16GB GDDR7 GPU GRAPHIC CARD,"RM4,799.00"
COLORFUL IGAME GEFORCE RTX5080 ADVANCED OC 16GB GDDR7 GPU GRAPHIC CARD,"RM5,599.00"
COLORFUL IGAME GEFORCE RTX5080 ULTRA W OC 16GB GDDR7 GPU 3YR WARRANTY,"RM5,399.00"
COLORFUL IGAME GEFORCE RTX5080 VULCAN OC 16GB-V GDDR7 GPU 3YR WARRANTY,"RM5,899.00"
COOLER MASTER EXTENSION SLEEVED CABLE KIT - BLUE BLACK,RM159.00
COOLER MASTER EXTENSION SLEEVED CABLE KIT - RED BLACK,RM159.00
ELGATO CAM LINK 4K 10GAM9901,RM649.00
ELGATO HD60 PRO PCIE HIGH DEFINITION GAME RECORDER @ 1080P 60FPS CAPTURE CARD 1GC109901002,RM969.00
ELGATO HD60 S+ HIGH DEFINITION GAME RECORDER EXTERNAL VIDEO CAPTURE CARD,RM979.00
ELGATO HD60S HIGH DEFINITION GAME RECORDER @ 1080P 60FPS CAPTURE CARD 1GC109901004,RM909.00
ELGATO STREAM DECK (15 KEYS LCD) 10GAA9901,RM719.00
ELGATO STREAM DECK XL (32 KEYS LCD) 10GAT9901,"RM1,109.00"
GIGABYTE GEFORCE RTX5070 GAMING OC 12G GDDR7 GPU GRAPHIC CARD,"RM2,899.00"
ID COOLING DF 12025-ARGB CASE FAN(1PC),RM55.00
ID COOLING XF-12025 ARGB CASE FAN TRIO SET,RM149.00
ID-COOLING DK-03I RGB PWM CPU COOLER,RM59.00
ID-COOLING PINKFLOW 240 AIO CPU LIQUID COOLING,RM379.00
ID-COOLING SE-214 RGB CPU COOLER,RM129.00
ID-COOLING SE-224 RGB CPU COOLER,RM159.00
KINGSTON HYPERX FURY RGB 16GB 3200MHZ DDR4 CL16 DIMM (8GB x 2) HX432C16FB3AK2/16,RM479.00
MSI GeForce RTX5060 Shadow 2X OC 8GB GDDR7 Graphic Card,"RM1,479.00"
MSI GeForce RTX5060TI Shadow 2X OC Plus 16GB GDDR7 Graphic Card,"RM2,599.00"
MSI Geforce RTX5060TI Shadow 2X OC Plus 8GB GDDR7 Graphic Card,"RM1,699.00"
